,positive1,positive2,positive3,control1,control2,control3
URIAAL_R04904,6.305567801,5.965671312,6.404224767,7.857887161,6.478465989,6.688882465
URIAAL_R04903,14.75570724,14.32554736,14.98327023,14.03197295,14.48353368,14.00073896
URIAAL_R14877,7.777148002,7.030798105,7.873512979,8.696433156,8.425035609,7.465151543
URIAAL_R04902,10.5029501,6.240187647,7.353277652,9.496327179,10.14605028,7.139532793
URIAAL_R04901,8.015406887,6.718074974,8.064885635,9.309026708,6.934137876,7.581771712
URIAAL_R00808,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R06598,6.384976422,5.540547154,5.004475073,5.593011071,5.035531377,5.414953896
URIAAL_R00838,6.277949273,6.14913368,6.88411236,5.630955528,6.182391428,7.261951033
URIAAL_R06610,5.106768862,5.825044428,6.012324482,5.087435481,5.610890998,5.720279544
URIAAL_R00818,5.106768862,4.363545172,5.004475073,4.363545172,5.035531377,4.858662109
URIAAL_R00819,7.229287543,7.580487843,8.098072428,7.104196116,7.973817651,7.826643198
URIAAL_R00809,11.3367413,12.30951937,11.44424174,10.56844141,11.52984463,11.81288559
URIAAL_R06627,9.081222369,8.569365304,10.03554865,9.222105294,9.174789296,9.01394618
URIAAL_R00820,10.85262387,11.67682753,10.72885023,10.39440368,10.69283981,11.01475937
URIAAL_R06611,4.363545172,5.572825096,4.818598514,4.824231677,4.363545172,4.934336631
URIAAL_R06612,7.795557429,7.285256717,7.442912021,6.814511673,7.830184283,7.594152856
URIAAL_R00821,10.24850641,10.37010241,10.14488359,9.917208756,10.61464742,10.32621939
URIAAL_R06597,15.09965444,14.39140619,14.46862826,13.98254725,13.88404155,14.78350307
URIAAL_R00810,6.410382631,6.357420852,6.595053781,4.824231677,5.944230311,7.087364347
URIAAL_R06599,10.63043671,11.95454495,11.06346176,10.78645836,10.81587595,11.03341921
URIAAL_R00822,8.298711605,8.591895708,8.182972652,7.352948957,7.903814362,8.12297267
URIAAL_R00823,10.27801737,9.782071882,9.959758702,8.856871424,10.55308895,9.794157062
URIAAL_R06613,7.130042279,6.14913368,5.262800844,6.056538929,5.50778211,4.934336631
URIAAL_R00824,6.332593726,5.773944293,6.346880929,6.177137402,5.543373549,6.288913891
URIAAL_R00825,9.031971861,9.438354459,9.740351845,10.36111264,9.095347528,8.533569134
URIAAL_R00807,7.720439718,7.974710328,8.059278628,7.547596361,7.040330214,6.615582782
URIAAL_R00805,5.268971085,6.357420852,5.876193263,6.177137402,5.47080836,5.484200565
URIAAL_R06600,10.23017,11.43997665,11.48170846,9.691916026,11.43587529,11.10466537
URIAAL_R00817,4.363545172,5.014186365,5.785897557,5.273670624,5.733803569,4.858662109
URIAAL_R00826,4.363545172,5.182500828,6.012324482,4.824231677,6.611354099,5.484200565
URIAAL_R00816,4.363545172,4.363545172,4.919731905,5.154913227,4.363545172,4.363545172
URIAAL_R06601,7.62056273,8.837823812,7.867097164,7.390408728,7.248593616,6.700715496
URIAAL_R06628,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00842,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00837,5.106768862,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R00811,7.641110844,8.275107967,9.214055131,7.67395494,8.440279339,8.279673917
URIAAL_R00827,4.891955851,4.363545172,4.919731905,5.377081874,5.098372679,5.257569707
URIAAL_R06614,4.363545172,4.86921915,5.004475073,5.553567254,5.50778211,5.165669828
URIAAL_R00828,10.87210308,11.36602201,11.63617846,10.50784345,11.45936532,11.28252988
URIAAL_R06602,9.288943422,9.045417642,9.800086333,8.666604799,9.541979516,9.960637081
